"TIPO";"CO_ANO";"NO_PAIS";"NO_FAT_AGREG";"VL_FOB";"KG_LIQUIDO"
"EXPORTAÇÕES";"2006";"China";"Operações Especiais";34334619;138332
"EXPORTAÇÕES";"2006";"China";"Produtos Básicos";6213222707;95568324143
"EXPORTAÇÕES";"2006";"China";"Produtos Manufaturados";879401653;507473057
"EXPORTAÇÕES";"2006";"China";"Produtos Semimanufaturados";1275409848;1911374028
"EXPORTAÇÕES";"2007";"China";"Operações Especiais";17476098;172164
"EXPORTAÇÕES";"2007";"China";"Produtos Básicos";7927295420;118401572919
"EXPORTAÇÕES";"2007";"China";"Produtos Manufaturados";867023992;364794149
"EXPORTAÇÕES";"2007";"China";"Produtos Semimanufaturados";1937018282;2099160049
"EXPORTAÇÕES";"2008";"China";"Operações Especiais";11532581;103366
"EXPORTAÇÕES";"2008";"China";"Produtos Básicos";12830029631;114682073905
"EXPORTAÇÕES";"2008";"China";"Produtos Manufaturados";1094981406;316040362
"EXPORTAÇÕES";"2008";"China";"Produtos Semimanufaturados";2586108542;2442722476
"EXPORTAÇÕES";"2009";"China";"Operações Especiais";8903339;598007
"EXPORTAÇÕES";"2009";"China";"Produtos Básicos";16310729663;187853790884
"EXPORTAÇÕES";"2009";"China";"Produtos Manufaturados";1422159602;1040681637
"EXPORTAÇÕES";"2009";"China";"Produtos Semimanufaturados";3262093682;5938675939
"EXPORTAÇÕES";"2010";"China";"Operações Especiais";13648275;674098
"EXPORTAÇÕES";"2010";"China";"Produtos Básicos";25755497382;182430275661
"EXPORTAÇÕES";"2010";"China";"Produtos Manufaturados";1394598328;627335681
"EXPORTAÇÕES";"2010";"China";"Produtos Semimanufaturados";3622162457;4967401521
"EXPORTAÇÕES";"2011";"China";"Operações Especiais";27348129;850603
"EXPORTAÇÕES";"2011";"China";"Produtos Básicos";37661364579;196612938212
"EXPORTAÇÕES";"2011";"China";"Produtos Manufaturados";2031453442;1185073207
"EXPORTAÇÕES";"2011";"China";"Produtos Semimanufaturados";4594429186;5710366201
