"TIPO";"PERIODO";"CO_ANO";"CO_PAIS";"NO_PAIS";"CO_PAIS_ISOA3";"NO_PPE_PPI";"NO_FAT_AGREG";"VL_FOB";"KG_LIQUIDO"
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Abrasivos e pedras para amolar e semelhantes";"Produtos Manufaturados";328523;5529
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Aceleradores de reação e preparações catalíticas";"Produtos Manufaturados";2737;30
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Acetatos,nitratos, éteres de celulose e outs. derivados";"Produtos Manufaturados";54518;10050
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Ácidos carboxílicos, seus anidridos, halogenetos, etc.";"Produtos Manufaturados";58495;15355
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Açúcar de cana, em bruto";"Produtos Semimanufaturados";242426442;728498375
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Açúcar refinado";"Produtos Manufaturados";405;450
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Aditivos para óleos lubrificantes";"Produtos Manufaturados";1819946;750530
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Álcoóis acíclicos e seus derivados halogenados, etc.";"Produtos Manufaturados";8563555;15530365
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Algodão em bruto";"Produtos Básicos";40464784;24099976
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Alumínio em desperdícios e resíduos";"Produtos Básicos";1313636;856284
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Alumínio, em barras, perfis, fios,chapas,folhas e tiras";"Produtos Manufaturados";1551;116
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Antibióticos";"Produtos Manufaturados";339881;970
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Aparelhos de fotocópia e de termocópia";"Produtos Manufaturados";58147;6353
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Aparelhos e dispositivos eletr. de ignição ou arranque";"Produtos Manufaturados";317121;4762
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Aparelhos eletr.de iluminação ou sinaliz. p/ automóveis";"Produtos Manufaturados";1725992;89385
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Aparelhos eletro-mecânicos ou térmicos,de uso doméstico";"Produtos Manufaturados";46971;579
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Aparelhos mecânicos p/projetar/pulverizar líquidos/pós";"Produtos Manufaturados";245278;69082
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Aparelhos p/cozinhar,aquecedores de pratos, suas partes";"Produtos Manufaturados";886;21
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Aparelhos p/interrupção,proteção de energia,suas partes";"Produtos Manufaturados";887528;24595
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Aparelhos transmissores ou receptores e componentes";"Produtos Manufaturados";9062740;176803
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Aquecedor, secador ou trocador de calor, partes e pecas";"Produtos Manufaturados";50789;215
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Ardósia natural e obras de ardósia";"Produtos Manufaturados";102566;233132
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Armações e cabos de ferramentas ou vassouras,de madeira";"Produtos Manufaturados";18473;12080
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Artigos de joalheria de metais preciosos e suas partes";"Produtos Manufaturados";87582;2
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Artigos de plástico para transporte ou para embalagem";"Produtos Manufaturados";354382;72255
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Artigos e apars. de prótese, de ortopedia e suas partes";"Produtos Manufaturados";5888;49
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Automóveis de passageiros";"Produtos Manufaturados";30000;1202
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Barras, perfis e fios de níquel";"Produtos Manufaturados";5413;202
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Bombas, compressores, ventiladores, etc. e suas partes";"Produtos Manufaturados";18418967;2005914
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Borracha misturada,n/vulcan.em forma primar,chapas,fls.";"Produtos Manufaturados";1528556;148294
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Borracha sintética e borracha artificial";"Produtos Semimanufaturados";3135822;3250222
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Brinquedos, jogos e artigos para diversão e suas partes";"Produtos Manufaturados";623;1
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Cabos e fibras sintéticas ou artificiais";"Produtos Manufaturados";6992;29120
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Cacau em pó";"Produtos Semimanufaturados";37634;11550
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Cachaça e caninha (rum e tafiá)";"Produtos Manufaturados";20182;3695
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Cadernos, agendas e artigos semelhantes";"Produtos Manufaturados";838;216
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Café cru em grão";"Produtos Básicos";5604244;1820900
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Café solúvel";"Produtos Manufaturados";506450;62540
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Café torrado, descafeinado ou não";"Produtos Básicos";952;175
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Caixas, sacos e outras embalagens, de papel ou de pasta";"Produtos Manufaturados";2958;785
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Caixotes, caixas, engradados, etc. de madeira";"Produtos Manufaturados";97543;50222
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Calçados";"Produtos Manufaturados";815945;30735
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Câmaras de ar, de borracha";"Produtos Manufaturados";168;11
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Carne de frango congelada, fresca ou refrig.incl.miudos";"Produtos Básicos";178877714;89086692
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Carne de suíno congelada, fresca ou refrigerada";"Produtos Básicos";140397;77695
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Catodos de cobre";"Produtos Semimanufaturados";139623581;23711723
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Caulim e outras argilas caulinicas";"Produtos Básicos";3436967;24163920
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Celulose";"Produtos Semimanufaturados";556719300;1194625041
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Centrifugadores e aparelhos para filtrar ou depurar";"Produtos Manufaturados";634631;23366
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Centro de usinagem e maqs. estações múltiplas, p/metais";"Produtos Manufaturados";1122206;1009985
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Ceras vegetais";"Produtos Semimanufaturados";7282375;895000
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Cerveja de malte";"Produtos Manufaturados";16743;13774
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Chapas e folhas de borracha vulcanizada não endurecida";"Produtos Manufaturados";264381;16114
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Chapas, folhas, tiras, películas e laminas, de plástico";"Produtos Manufaturados";590819;49249
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Chassis com motor e carroçarias p/ veículos automóveis";"Produtos Manufaturados";387300;29400
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Chocolate e preparações alimentícias com cacau";"Produtos Manufaturados";5800;4000
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Cilindros hidráulicos";"Produtos Manufaturados";90877;11075
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Circuitos impressos";"Produtos Manufaturados";128771;1659
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Circuitos integrados e microconjuntos eletrônicos";"Produtos Manufaturados";3820944;4495
