"id";"NM_MUNICIP";"mediana"
"3100104";"ABADIA DOS DOURADOS";1177
"3100203";"ABAETÉ";1088,32
"3100302";"ABRE CAMPO";1017,03
"3100401";"ACAIACA";1073,8
"3100500";"AÇUCENA";1014,17
"3100609";"ÁGUA BOA";949
"3100708";"ÁGUA COMPRIDA";1503,51
"3100807";"AGUANIL";1011,47
"3100906";"ÁGUAS FORMOSAS";1018,695
"3101003";"ÁGUAS VERMELHAS";986,5
"3101102";"AIMORÉS";1103,2
"3101201";"AIURUOCA";1115,24
"3101300";"ALAGOA";1106,67
"3101409";"ALBERTINA";1271,21
"3101508";"ALÉM PARAÍBA";1070,26
"3101607";"ALFENAS";1300
"3101631";"ALFREDO VASCONCELOS";1036,8
"3101706";"ALMENARA";1014
"3101805";"ALPERCATA";1071,975
"3101904";"ALPINÓPOLIS";1170,37
"3102001";"ALTEROSA";1033,99
"3102050";"ALTO CAPARAÓ";1118,96
"3102100";"ALTO RIO DOCE";1030,9
"3102209";"ALVARENGA";860,64
"3102308";"ALVINÓPOLIS";1081,19
"3102407";"ALVORADA DE MINAS";1126,16
"3102506";"AMPARO DO SERRA";1033,64
"3102605";"ANDRADAS";1176,59
"3102704";"CACHOEIRA DE PAJEÚ";1000
"3102803";"ANDRELÂNDIA";1044,74
"3102852";"ANGELÂNDIA";1103,2
"3102902";"ANTÔNIO CARLOS";1103,2
"3103009";"ANTÔNIO DIAS";1157,475
"3103108";"ANTÔNIO PRADO DE MINAS";1182,855
"3103207";"ARAÇAÍ";1094,78
"3103306";"ARACITABA";1103,2
"3103405";"ARAÇUAÍ";945,6
"3103504";"ARAGUARI";1283,565
"3103603";"ARANTINA";1024,4
"3103702";"ARAPONGA";1020,17
"3103751";"ARAPORÃ";1576
"3103801";"ARAPUÁ";1341,26
"3103900";"ARAÚJOS";1087,23
"3104007";"ARAXÁ";1427,44
"3104106";"ARCEBURGO";1282,535
"3104205";"ARCOS";1370,75
"3104304";"AREADO";1108,78
"3104403";"ARGIRITA";906,13
"3104452";"ARICANDUVA";1115,4
"3104502";"ARINOS";1024,4
"3104601";"ASTOLFO DUTRA";945,6
"3104700";"ATALÉIA";1043,94
"3104809";"AUGUSTO DE LIMA";1006,27
"3104908";"BAEPENDI";1037,09
"3105004";"BALDIM";1069,2
"3105103";"BAMBUÍ";1294
"3105202";"BANDEIRA";1014
"3105301";"BANDEIRA DO SUL";935,32
"3105400";"BARÃO DE COCAIS";1200
"3105509";"BARÃO DE MONTE ALTO";973,9
"3105608";"BARBACENA";1066,75
"3105707";"BARRA LONGA";973,1
"3105905";"BARROSO";1170,07
"3106002";"BELA VISTA DE MINAS";1223,77
"3106101";"BELMIRO BRAGA";933,1
"3106200";"BELO HORIZONTE";1664,14
"3106309";"BELO ORIENTE";1428,85
"3106408";"BELO VALE";1300
"3106507";"BERILO";1103,2
"3106606";"BERTÓPOLIS";1024,4
"3106655";"BERIZAL";906,2
"3106705";"BETIM";1866,67
"3106804";"BIAS FORTES";1061,87
"3106903";"BICAS";964
"3107000";"BIQUINHAS";1094,58
"3107109";"BOA ESPERANÇA";1062,4
"3107208";"BOCAINA DE MINAS";946,97
"3107307";"BOCAIÚVA";1050,67
"3107406";"BOM DESPACHO";1182
"3107505";"BOM JARDIM DE MINAS";945,6
"3107604";"BOM JESUS DA PENHA";1268
"3107703";"BOM JESUS DO AMPARO";998,63
"3107802";"BOM JESUS DO GALHO";832
"3107901";"BOM REPOUSO";984,58
"3108008";"BOM SUCESSO";1024,4
"3108107";"BONFIM";1005,135
"3108206";"BONFINÓPOLIS DE MINAS";1250
"3108255";"BONITO DE MINAS";1040,75
"3108305";"BORDA DA MATA";1110,74
"3108404";"BOTELHOS";993,82
"3108503";"BOTUMIRIM";1007
"3108552";"BRASILÂNDIA DE MINAS";1182
"3108602";"BRASÍLIA DE MINAS";1024,4
"3108701";"BRÁS PIRES";945,6
"3108800";"BRAÚNAS";1363,99
"3108909";"BRAZÓPOLIS";1092,2
"3109006";"BRUMADINHO";1393,425
"3109105";"BUENO BRANDÃO";1184,38
"3109204";"BUENÓPOLIS";946,585
"3109253";"BUGRE";938
"3109303";"BURITIS";1389,98
"3109402";"BURITIZEIRO";1191,29
"3109451";"CABECEIRA GRANDE";1286,24
"3109501";"CABO VERDE";1024,54
"3109600";"CACHOEIRA DA PRATA";1011,15
"3109709";"CACHOEIRA DE MINAS";1185,66
"3109808";"CACHOEIRA DOURADA";1360,5
"3109907";"CAETANÓPOLIS";1082,91
"3110004";"CAETÉ";1116,41
"3110103";"CAIANA";1164,27
"3110202";"CAJURI";1136,825
"3110301";"CALDAS";1178,885
"3110400";"CAMACHO";1339,6
"3110509";"CAMANDUCAIA";1270,92
"3110608";"CAMBUÍ";1163,58
"3110707";"CAMBUQUIRA";968
"3110806";"CAMPANÁRIO";1069,6
"3110905";"CAMPANHA";1040
"3111002";"CAMPESTRE";975,06
"3111101";"CAMPINA VERDE";1185,44
"3111150";"CAMPO AZUL";914,225
"3111200";"CAMPO BELO";1048,345
"3111309";"CAMPO DO MEIO";1048,04
"3111408";"CAMPO FLORIDO";1495,85
"3111507";"CAMPOS ALTOS";1182
"3111606";"CAMPOS GERAIS";851,04
"3111705";"CANAÃ";925,1
"3111804";"CANÁPOLIS";1024,8
"3111903";"CANA VERDE";945,6
"3112000";"CANDEIAS";1070,17
"3112059";"CANTAGALO";1024,4
"3112109";"CAPARAÓ";1155,73
"3112208";"CAPELA NOVA";1031,35
"3112307";"CAPELINHA";1103,2
"3112406";"CAPETINGA";1028,6
"3112505";"CAPIM BRANCO";1019,39
"3112604";"CAPINÓPOLIS";1182
"3112653";"CAPITÃO ANDRADE";1014
"3112703";"CAPITÃO ENÉAS";1182
"3112802";"CAPITÓLIO";1200
"3112901";"CAPUTIRA";866,8
"3113008";"CARAÍ";1063,8
"3113107";"CARANAÍBA";1186,22
"3113206";"CARANDAÍ";1114,24
"3113305";"CARANGOLA";1065,05
"3113404";"CARATINGA";1020
"3113503";"CARBONITA";1000
"3113602";"CAREAÇU";1086,72
